n-seri,n-para,result,finished soc,pack weight kg,DOD,max cell voltage,min cell voltage,total loss wh
134,3,Passed,49.3815423545389,40.2,5.31166628420749,3.7074835940160424,3.3576884469521557,57.05780828422146
132,3,Passed,49.3649874985091,39.6,5.396180242615053,3.7092603167961276,3.3539291705085916,57.99293058469546
130,3,Passed,49.34768276928392,39.0,5.483437115116267,3.7110901419941094,3.3500439849040764,58.959611601141404
128,3,Passed,49.329580661189034,38.4,5.5735731334760175,3.712975488578031,3.346026426762603,59.95946858015156
126,3,Passed,49.31062973008355,37.8,5.666733789700132,3.714918924836555,3.3418695859009095,60.994259599963925
124,3,Passed,49.29077424266056,37.2,5.763074591832591,3.7169231800918037,3.3375660604695145,62.06587063113355
122,3,Passed,49.26995373511253,36.6,5.86276194522307,3.7189911575333134,3.333107912207173,63.176327462750514
120,3,Passed,49.248102517322955,36.0,5.965974129087442,3.721125948300393,3.3284866166995895,64.32780904349038
118,3,Passed,49.225149114780265,35.4,6.0729023806013345,3.72333084695707,3.323693007967196,65.52266239500315
116,3,Passed,49.20101563903195,34.8,6.183752100684529,3.7256093685231044,3.318717216608475,66.76341932011063
114,3,Passed,49.17561707593941,34.2,6.298744197819126,3.727965267246919,3.31354860060154,68.05281516528726
112,3,Passed,49.148860479121645,33.6,6.418116588821128,3.7304025573321233,3.3081756677199903,69.39380994103452
110,3,Passed,49.120644053743455,33.0,6.542125878527571,3.7329255358592324,3.3025859883447253,70.7896121565793
108,3,Passed,49.090856113106994,32.4,6.6710492439734,3.735538808179016,3.2967660972452375,72.2437057888008
106,3,Passed,49.05937388726265,31.8,6.805186552930692,3.738247316094425,3.2907013826546114,73.75988088186378
104,3,Passed,49.02606215891266,31.2,6.944862751817361,3.741056369195453,3.2843759606626786,75.34226836681609
102,3,Passed,48.99077169708764,30.6,7.090430564144896,3.743971679766761,3.2777725325896023,76.9953798033198
100,3,Passed,48.953337453220165,30.0,7.242273548089045,3.7469994017531203,3.270872222563079,78.72415288373192
188,2,Passed,49.304114624551254,37.6,5.6984860564891235,3.715580112595087,3.3404517562299136,61.347275124452025
186,2,Passed,49.29077424266056,37.2,5.763074591832591,3.716923180091804,3.3375660604695145,62.06587063113355
184,2,Passed,49.277005070322375,36.8,5.829150239234018,3.7182945646963015,3.334611655497889,62.80172779040497
182,2,Passed,49.26278792407469,36.4,5.896765192522103,3.719695172400545,3.3315860467182823,63.555484059146174
180,2,Passed,49.248102517322955,36.0,5.965974129087442,3.721125948300393,3.3284866166995895,64.32780904349038
178,2,Passed,49.2329273824553,35.6,6.0368343601753836,3.7225878787303968,3.325310617481278,65.1194065733119
176,2,Passed,49.217239786407085,35.2,6.109405992289965,3.724081993540125,3.322055162289173,65.93101694101077
174,2,Passed,49.20101563903195,34.8,6.183752100684529,3.7256093685231044,3.318717216608475,66.76341932011063
172,2,Passed,49.184229393563335,34.4,6.259938916015699,3.7271711280104536,3.315293588554701,67.61743438089823
170,2,Passed,49.16685393837085,34.0,6.338036025347769,3.7287684476424072,3.311780918476861,68.49392712225827
168,2,Passed,49.148860479121645,33.6,6.418116588821128,3.7304025573321233,3.30817566771999,69.39380994103452
166,2,Passed,49.130218410355944,33.2,6.5002575734365,3.7320747444375706,3.3044741064661376,70.31804596270383
164,2,Passed,49.11089517536147,32.8,6.584540005565422,3.733786357158726,3.3006723005637557,71.26765265994071
162,2,Passed,49.090856113106994,32.4,6.6710492439734,3.7355388081790166,3.2967660972452375,72.2437057888008
160,2,Passed,49.070064290831944,32.0,6.759875275341706,3.737333578571749,3.2927511096206588,73.24734367585366
158,2,Passed,49.048480320723684,31.6,6.851113034497594,3.739172221994349,3.288622699822694,74.27977189367962
156,2,Passed,49.02606215891266,31.2,6.944862751817361,3.741056369195453,3.284375960662679,75.34226836681609
154,2,Passed,49.002764884786515,30.8,7.041230330553745,3.742987732862479,3.280005695640784,76.43618895558404
152,2,Passed,48.978540458371256,30.4,7.140327757164172,3.7449681128400893,3.2755063971339666,77.56297357133892
150,2,Passed,48.953337453220165,30.0,7.242273548089045,3.74699940175312,3.270872222563079,78.72415288373195
148,2,Passed,48.92710076191767,29.6,7.3471932368481205,3.7490835910710785,3.2660969683153454,79.92135568865376
146,2,Passed,48.89977127090144,29.2,7.455219905807503,3.751222777655252,3.2611740411691725,81.15631701488692
144,2,Passed,48.8712855008549,28.8,7.56649476751808,3.753419170833892,3.256096426934943,82.4308870582986
142,2,Passed,48.84157520838747,28.4,7.681167801159063,3.755675100055907,3.250856655986797,83.74704104495072
140,2,Passed,48.81056694411224,28.0,7.79939845034378,3.7579930231791048,3.2454467653159282,85.10689013908618
138,2,Passed,48.778181561503445,27.6,7.921356389381515,3.7603755354552755,3.239858256684226,86.51269352896868
136,2,Passed,48.74433367009178,27.2,8.047222366053063,3.762825379281563,3.234082050397153,87.96687184344191
134,2,Passed,48.70893102557029,26.8,8.177189130071518,3.765345454795571,3.228108434144874,89.47202207541872
132,2,Passed,48.67187384823696,26.4,8.31146245769827,3.7679388314007447,3.2219270062789738,91.03093421597156
130,2,Passed,48.633054059849535,26.0,8.450262284489504,3.7706087603188796,3.215526612796394,92.6466098351181
128,2,Passed,48.59235442737081,25.6,8.593823959908065,3.7733586882783485,3.2088952771897485,94.32228288378961
126,2,Passed,48.54964760019041,25.2,8.74239963959765,3.7761922724599133,3.202020122190335,96.0614430371164
124,2,Passed,48.504795025167965,24.8,8.896259833533442,3.7791133968372996,3.1948872822731706,97.86786195359349
122,2,Passed,48.45764572115229,24.4,9.055695131118561,3.7821261900669727,3.187481805606521,99.74562288989382
120,2,Passed,48.40803489143399,24.0,9.221018127665147,3.785235045101578,3.179787543905932,101.69915418944893
118,2,Passed,48.35578234872575,23.6,9.392565580705003,3.7884446407242662,3.1717870283860643,103.73326725753033
116,2,Passed,48.30069072261718,23.2,9.570700829343238,3.7917599652274445,3.1634613296831913,105.85319975025917
114,2,Passed,48.24254341382107,22.8,9.755816515573557,3.7951863424897594,3.154789899234177,108.06466484466668
